qid,structural,semantic,program_depth,question,gt_answer,blip_answer,mismatch_label,vilt_answer,vilt_correct
196824,choose,attr,2,Is the road unpaved or paved?,unpaved,paved,blip_subset,dry,False
18983787,choose,attr,2,Is the table metallic or wooden?,metallic,metal,blip_subset,metal,False
02637795,choose,attr,3,Is the narrow road paved or unpaved?,unpaved,paved,blip_subset,paved,False
1722334,choose,attr,2,Is the ladder wooden or metallic?,metallic,metal,blip_subset,metal,False
15556139,choose,attr,3,Is the red shirt long sleeved or sleeveless?,long sleeved,long sleeve,blip_subset,long,False
15146570,choose,attr,3,Is the yellow shirt long sleeved or short sleeved?,long sleeved,long sleeve,blip_subset,long,False
15342876,choose,attr,3,"What color is the large bookcase, light brown or black?",light brown,brown,blip_subset,brown,False
02618217,choose,attr,2,Do you think the shirt is long sleeved or sleeveless?,long sleeved,long sleeve,blip_subset,short,False
151032555,choose,attr,3,Does the bear that is to the right of the skateboard look dark brown or tan?,dark brown,brown,blip_subset,brown,False
14739885,choose,attr,2,Is the sidewalk wooden or metallic?,metallic,metal,blip_subset,wood,False
18683294,choose,attr,2,Is the coat dark brown or green?,dark brown,brown,blip_subset,brown,False
07907672,choose,attr,2,Is the pipe metallic or wooden?,metallic,metal,blip_subset,metal,False
04960543,choose,attr,3,Is the black shirt long sleeved or sleeveless?,long sleeved,long sleeve,blip_subset,short,False
02805608,choose,attr,2,Is the shirt long sleeved or sleeveless?,long sleeved,long sleeve,blip_subset,long,False
13163477,choose,attr,2,Is that undershirt short sleeved or long sleeved?,long sleeved,long sleeve,blip_subset,long,False
16246486,choose,attr,3,Is the light shirt short sleeved or sleeveless?,short sleeved,short sleeve,blip_subset,short,False
11673306,choose,attr,2,Is the shirt long sleeved or sleeveless?,long sleeved,long sleeve,blip_subset,long,False
04803621,choose,attr,2,Are the shorts long sleeved or short sleeved?,short sleeved,short,blip_subset,short,False
17593110,choose,attr,2,Is the shirt long sleeved or short sleeved?,long sleeved,long sleeve,blip_subset,long,False
051014323,choose,attr,2,"What color is the trailer, light blue or yellow?",light blue,blue,blip_subset,blue,False
06108072,choose,attr,2,Is the sky white or dark blue?,dark blue,blue,blip_subset,blue,False
06459598,choose,attr,2,Is the hat rainbow colored or black and white?,rainbow colored,rainbow,blip_subset,rainbow,False
01423339,choose,attr,3,Is the fence that looks green metallic or wooden?,metallic,metal,blip_subset,metal,False
07194872,choose,attr,3,Are the bananas that look little mature or immature?,immature,mature,blip_subset,no,False
198813,choose,attr,3,Does the girl's hair seem to be light brown or red?,light brown,light,blip_subset,blonde,False
02922185,choose,attr,3,Is the pot to the right of the container made of stainless steel or concrete?,stainless steel,steel,blip_subset,metal,False
11941451,choose,attr,3,"What is the brown floor made of, hardwood or cement?",hardwood,wood,blip_subset,hardwood,True
12845838,choose,attr,2,Is the road paved or unpaved?,unpaved,paved,blip_subset,dirt,False
02951242,choose,attr,3,Is the gray shirt sleeveless or short sleeved?,short sleeved,short sleeve,blip_subset,short,False
111054602,choose,attr,3,Is the desk to the left of the armchair wooden or metallic?,wooden,wood,blip_subset,wood,False
09175185,choose,attr,2,Is the fence wooden or metallic?,metallic,metal,blip_subset,metal,False
12753366,choose,attr,4,Is the black bench in front of the trees metallic or wooden?,metallic,metal,blip_subset,metal,False
12753301,choose,attr,2,Is the shirt short sleeved or long sleeved?,long sleeved,long,blip_subset,long,False
181047062,choose,attr,2,Is the shirt short sleeved or long sleeved?,short sleeved,short,blip_subset,short,False
09929795,choose,attr,3,Is the fence that is to the right of the bottle metallic or wooden?,metallic,metal,blip_subset,metal,False
14744988,choose,attr,3,Is the person that is to the left of the glasses unhappy or happy?,unhappy,happy,blip_subset,happy,False
03212360,choose,attr,2,Is the table metallic or wooden?,wooden,wood,blip_subset,wood,False
05414296,choose,attr,2,Is the shoe black and white or colorful?,black and white,black,blip_subset,black,False
09321174,choose,attr,2,Is this drapery brown or dark blue?,dark blue,dark,blip_subset,blue,False
16230196,choose,attr,3,Does the tray near the bowl look wooden or metallic?,wooden,wood,blip_subset,wood,False
16229639,choose,attr,3,Is the yellow shirt short sleeved or is it sleeveless?,short sleeved,short sleeve,blip_subset,short,False
04197692,choose,attr,2,Is the shirt short sleeved or sleeveless?,short sleeved,short sleeve,blip_subset,short,False
1062109,choose,attr,2,Is the shirt sleeveless or short sleeved?,short sleeved,short,blip_subset,short,False
10739622,choose,attr,3,Are the bananas that are not thin unripe or ripe?,unripe,ripe,blip_subset,ripe,False
08749253,choose,attr,2,Is the door metallic or wooden?,metallic,metal,blip_subset,metal,False
141041722,choose,attr,2,Is the fence wooden or metallic?,wooden,wood,blip_subset,wood,False
06580656,choose,attr,3,Is the bench in front of the street lamp wooden or metallic?,metallic,metal,blip_subset,metal,False
00289934,choose,attr,3,Is the brown shirt long sleeved or sleeveless?,long sleeved,long sleeve,blip_subset,long,False
0216556,choose,attr,2,Is the icing dark brown or blue?,dark brown,brown,blip_subset,brown,False
06115699,choose,attr,2,Is the shirt sleeveless or short sleeved?,short sleeved,short sleeve,blip_subset,short,False
16711888,choose,attr,2,Is the shirt sleeveless or short sleeved?,short sleeved,short,blip_subset,short,False
08389489,choose,attr,2,Does the sky look light blue or black?,light blue,blue,blip_subset,blue,False
09226397,choose,attr,2,Is the gate metallic or wooden?,metallic,metal,blip_subset,metal,False
04481996,choose,attr,3,Is the vehicle at the station metallic or wooden?,metallic,metal,blip_subset,metal,False
08287768,choose,attr,2,Are the shorts dark blue or red?,dark blue,blue,blip_subset,blue,False
18664148,choose,attr,2,"How does the fence look, wooden or metallic?",metallic,metal,blip_subset,metal,False
07425755,choose,attr,2,Is that floor wooden or metallic?,wooden,wood,blip_subset,wood,False
02135407,choose,attr,3,Is the black fence metallic or wooden?,metallic,metal,blip_subset,metal,False
15710688,choose,attr,2,Is the shirt short sleeved or sleeveless?,short sleeved,short,blip_subset,short,False
05276818,choose,attr,3,Is the pink shirt long sleeved or short sleeved?,short sleeved,short,blip_subset,short,False
1858425,choose,attr,2,Are the walls wooden or metallic?,wooden,wood,blip_subset,wood,False
03581711,choose,attr,2,Is the sky white or dark blue?,dark blue,blue,blip_subset,blue,False
19556121,choose,attr,2,"Which material is the floor made of, hardwood or cement?",hardwood,wood,blip_subset,hardwood,True
12962200,choose,attr,2,Is that table wooden or metallic?,wooden,wood,blip_subset,wood,False
05299942,choose,attr,2,Are the chairs wooden or metallic?,wooden,wood,blip_subset,wood,False
122483,choose,attr,2,Does the shirt look long sleeved or sleeveless?,long sleeved,long sleeve,blip_subset,long,False
06991578,choose,attr,3,"How does the brown fence look, wooden or metallic?",wooden,wood,blip_subset,wood,False
03659889,choose,attr,3,Is the boat on the water wooden or metallic?,wooden,wood,blip_subset,metal,False
19931416,choose,attr,3,Is the red shirt long sleeved or short sleeved?,long sleeved,long sleeve,blip_subset,long,False
1033702,choose,attr,3,Is the tall fence wooden or metallic?,wooden,wood,blip_subset,wooden,True
05336757,choose,attr,3,Is the blue shirt short sleeved or sleeveless?,short sleeved,short sleeve,blip_subset,short,False
07124823,choose,attr,3,Is the boy on the skateboard performing trick or maybe snowboarding?,performing trick,trick,blip_subset,skateboarding,False
00785584,choose,attr,3,"How does the fence to the right of the house look like, metallic or wooden?",wooden,wood,blip_subset,metal,False
15365316,choose,attr,3,Is the dog next to the other dog light brown or black?,light brown,brown,blip_subset,brown,False
15726949,choose,attr,3,Is the green shirt short sleeved or long sleeved?,short sleeved,short sleeve,blip_subset,short,False
04429763,choose,cat,3,"Which type of device is not white, the mouse or the computer?",computer mouse,mouse,blip_subset,mouse,False
19808072,choose,cat,3,"Which device is not silver, the computer or the remote control?",remote control,remote,blip_subset,laptop,False
0485916,choose,cat,2,Is this a cell phone or a speaker?,cell phone,phone,blip_subset,phone,False
15260642,choose,cat,3,"Which vehicle is white, the train car or the car?",train car,train,blip_subset,train,False
09543919,choose,cat,3,"What device is white, the mouse or the computer monitor?",computer monitor,computer,blip_subset,computer,False
06735158,choose,cat,2,Is that a game controller or a computer mouse?,computer mouse,mouse,blip_subset,mouse,False
18157247,choose,cat,3,"What device is black, the screen or the cell phone?",cell phone,phone,blip_subset,phone,False
19938583,choose,cat,2,Is this a cell phone or a computer?,cell phone,phone,blip_subset,phone,False
02760157,choose,cat,2,Are these penguins or panda bears?,panda bears,panda,blip_subset,panda,False
12224624,choose,cat,2,Is this a television or a cell phone?,cell phone,phone,blip_subset,phone,False
19363441,choose,cat,2,Is that a dining table or a lamp?,dining table,table,blip_subset,table,False
19737070,choose,cat,2,Is this a mirror or a coffee table?,coffee table,table,blip_subset,table,False
11877663,choose,cat,2,Is this a computer or a cell phone?,cell phone,phone,blip_subset,phone,False
15127105,choose,cat,2,Is this a pan or a tea pot?,tea pot,tea,blip_subset,cup,False
00307335,choose,cat,3,"Which type of device is not gray, the calculator or the mouse?",computer mouse,mouse,blip_subset,mouse,False
00307464,choose,cat,3,"What device is not black, the keyboard or the computer mouse?",computer mouse,mouse,blip_subset,remote,False
18158543,choose,cat,3,"Which type of device is blue, the cell phone or the camera?",cell phone,phone,blip_subset,phone,False
07522092,choose,cat,3,"What type of furniture is white, the TV stand or the chair?",tv stand,stand,blip_subset,chair,False
18252660,choose,cat,3,"Which kind of food is grilled, the chicken breast or the broccoli?",chicken breast,chicken,blip_subset,chicken,False
09729147,choose,cat,2,Is this a cookie or a cupcake?,cupcake,cake,blip_subset,cake,False
11199879,choose,cat,2,Is this a computer mouses or a Xbox controller?,xbox controller,xbox,blip_subset,neither,False
11199846,choose,cat,2,Is that a remote control or a computer mouse?,remote control,remote,blip_subset,remote,False
111008858,choose,rel,4,"What are the people that are playing playing, a Wii controller or a computer mouses?",wii controller,wii,blip_subset,wii,False
17465239,choose,rel,4,"What kind of device is the man to the left of the player holding, a phone or a video camera?",video camera,camera,blip_subset,camera,False
15239129,choose,rel,3,"What is the TV on, a TV stand or a cabinet?",tv stand,stand,blip_subset,desk,False
08810104,choose,rel,3,"What is that television on, a shelf or a TV stand?",tv stand,stand,blip_subset,stand,False
0947668,choose,rel,4,"What type of device is the person to the right of the pillow holding, a remote control or a camera?",remote control,remote,blip_subset,camera,False
14172914,choose,rel,4,"What type of device is the person to the right of the man holding, a camera or a cell phone?",cell phone,phone,blip_subset,phone,False
03633165,choose,rel,3,"What are the trees behind of, a bus or a train car?",train car,train,blip_subset,train,False
0378353,choose,rel,4,"What kind of device is the person to the left of the man looking at, a remote control or a phone?",remote control,remote,blip_subset,wii,False
08475770,choose,rel,4,"What device are the people that are to the left of the cup using, a camera or a cell phone?",cell phone,phone,blip_subset,phone,False
02247586,choose,rel,4,"What is the man to the left of the person using, a video camera or a computer?",video camera,camera,blip_subset,camera,False
02454690,choose,rel,4,"What is the person to the left of the people using, a remote control or a cell phone?",remote control,remote,blip_subset,remote,False
11877731,choose,rel,4,"What type of device is the Caucasian person holding, a cell phone or a camera?",cell phone,phone,blip_subset,phone,False
1471859,choose,rel,3,"What is that phone on, a bed or a coffee table?",coffee table,table,blip_subset,table,False
122336,choose,rel,3,"What is the man in, a carriage or a train car?",train car,train,blip_subset,train,False
122325,choose,rel,3,"What kind of vehicle is he on, a train car or a bus?",train car,train,blip_subset,train,False
15854744,choose,rel,4,"What is the white container holding, a television or a cell phone?",cell phone,phone,blip_subset,phone,False
16432576,choose,rel,3,"What does the man hold, a cell phone or a camera?",cell phone,phone,blip_subset,phone,False
18317729,compare,attr,3,"Which are healthier, the doughnuts or the raspberries?",raspberries,berries,blip_subset,cherries,False
16632252,compare,attr,3,"Who seems to be older, the woman or the kid?",woman,man,blip_subset,man,False
00747832,compare,attr,3,"Who is older, the girl or the woman?",woman,man,blip_subset,woman,True
1527242,compare,attr,3,"Who is older, the girl or the woman?",woman,man,blip_subset,woman,True
14494849,compare,attr,3,"Which seems to be older, the boy or the woman?",woman,man,blip_subset,woman,True
01582650,compare,attr,3,"Who is older, the girl or the woman?",woman,man,blip_subset,man,False
12564467,compare,attr,3,"Who is older, the boy or the woman?",woman,man,blip_subset,woman,True
1813159,compare,attr,3,"Who seems to be older, the boy or the woman?",woman,man,blip_subset,man,False
1337701,compare,attr,3,"Who is older, the woman or the boy?",woman,man,blip_subset,man,False
16817192,compare,attr,3,"Which seems to be older, the boy or the woman?",woman,man,blip_subset,man,False
10438871,query,attr,2,Which color is the boat?,dark brown,brown,blip_subset,brown,False
08374338,query,attr,3,What is the color of the jacket that the woman is wearing?,dark blue,blue,blip_subset,blue,False
15921601,query,attr,3,What color is the shirt that the umpire wears?,dark blue,blue,blip_subset,blue,False
01854646,query,attr,3,What color is the water the boat is on?,dark blue,blue,blip_subset,blue,False
14113065,query,attr,2,What color are the jeans?,light blue,blue,blip_subset,blue,False
03331901,query,attr,3,Which color is the cabinet on the right?,dark brown,brown,blip_subset,brown,False
07104266,query,attr,3,What is the color of the umbrella in the bottom of the picture?,light blue,blue,blip_subset,blue,False
14329921,query,attr,3,Which color does the bear the hat is on have?,dark brown,brown,blip_subset,blue,False
16685655,query,attr,2,What color is the ground?,dark blue,blue,blip_subset,blue,False
17475739,query,attr,3,Which color is the shirt that the lady wears?,dark blue,blue,blip_subset,blue,False
18655669,query,attr,3,What color is the floor made of wood?,light brown,brown,blip_subset,brown,False
031054191,query,attr,3,What color is the table above the chair?,light brown,brown,blip_subset,white,False
06492686,query,attr,3,Which color is the door made of wood?,light brown,brown,blip_subset,brown,False
17197213,query,attr,3,What color is the helmet in the middle of the image?,light blue,blue,blip_subset,blue,False
00176807,query,attr,2,What is the color of the sky?,light blue,blue,blip_subset,blue,False
01326803,query,attr,3,The suit the man is wearing is of which color?,light brown,brown,blip_subset,brown,False
18387699,query,attr,2,What color is that door?,cream colored,red,blip_subset,red,False
07320207,query,attr,2,What color does the nose have?,light blue,blue,blip_subset,blue,False
07382908,query,attr,3,Of what color is the floor that is made of hardwood?,light brown,brown,blip_subset,brown,False
07556842,query,attr,3,What is the color of the wood doors?,light brown,brown,blip_subset,brown,False
05679607,query,attr,2,The basket has what color?,light brown,brown,blip_subset,brown,False
09928098,query,attr,2,What color is the dirt?,light brown,brown,blip_subset,brown,False
17797455,query,attr,2,Of what color is the sky?,light blue,blue,blip_subset,blue,False
06215789,query,attr,2,What color is the tail?,dark brown,brown,blip_subset,brown,False
05802815,query,attr,3,The boy's hair is which color?,dark brown,brown,blip_subset,brown,False
19199284,query,attr,2,What color is the sky?,light blue,blue,blip_subset,blue,False
19629354,query,attr,3,What is the gender of the skier in the bottom of the picture?,female,male,blip_subset,male,False
07301097,query,attr,2,The boat is of what color?,light blue,blue,blip_subset,blue,False
10253914,query,attr,2,What color are the cabinets?,light brown,brown,blip_subset,brown,False
0027529,query,attr,2,Which color does that sky have?,light blue,blue,blip_subset,blue,False
13176863,query,attr,2,What color is the sky?,light blue,blue,blip_subset,blue,False
19601500,query,attr,2,The water has what color?,dark blue,blue,blip_subset,blue,False
16597482,query,attr,3,What is the color of the car to the left of the other car?,dark blue,blue,blip_subset,tan,False
03423109,query,attr,3,What is the color of the jacket the man wears?,dark blue,blue,blip_subset,gray,False
00668110,query,attr,2,What color is the airplane?,dark blue,blue,blip_subset,blue,False
151032584,query,attr,3,The bear in the bottom of the image is of what color?,dark brown,brown,blip_subset,brown,False
08260009,query,attr,3,What color is the long hair?,dark brown,brown,blip_subset,brown,False
08461383,query,attr,2,Which color is the castle?,light brown,brown,blip_subset,brown,False
13159484,query,attr,3,What color is the small water?,dark brown,brown,blip_subset,brown,False
181055725,query,attr,3,What is the color of the head board that is made of wood?,dark brown,brown,blip_subset,brown,False
19109974,query,attr,3,What is the color of the porch that is made of wood?,dark brown,brown,blip_subset,brown,False
07568858,query,attr,2,What is the color of that sky?,light blue,blue,blip_subset,blue,False
19172690,query,attr,2,What color is the sky?,light blue,blue,blip_subset,blue,False
02772792,query,attr,2,Which color are the trousers?,light blue,blue,blip_subset,blue,False
10623198,query,attr,3,What color is the table made of wood?,dark brown,brown,blip_subset,brown,False
11402844,query,attr,3,Which color is the jersey that the number is on the back of?,dark blue,blue,blip_subset,blue,False
18437461,query,attr,3,Which color is the doughnut to the left of the other doughnut?,light brown,brown,blip_subset,brown,False
04622642,query,attr,3,What gender is the person that is swinging a tennis racket?,female,male,blip_subset,female,True
18175315,query,attr,3,What color does the bag to the right of the sword have?,cream colored,red,blip_subset,green,False
13384791,query,attr,3,What is the color of the table made of wood?,dark brown,brown,blip_subset,black,False
09658446,query,attr,3,Which color does the sky the clouds are in have?,light blue,blue,blip_subset,blue,False
17338085,query,attr,3,What gender is the large elephant?,female,male,blip_subset,male,False
05709085,query,attr,3,What is the color of the jeans the person is wearing?,light blue,blue,blip_subset,blue,False
04285513,query,attr,2,What is the color of the floor?,light brown,brown,blip_subset,brown,False
19676185,query,attr,2,What color is the chair?,light brown,brown,blip_subset,brown,False
19676344,query,attr,2,What is the color of the table?,dark brown,brown,blip_subset,brown,False
07646227,query,attr,3,What color is the sky the cloud is in?,light blue,blue,blip_subset,white,False
02403898,query,attr,3,What is the color of the sky the plane is flying in?,light blue,blue,blip_subset,gray,False
13254638,query,attr,2,What color is the sky?,dark blue,blue,blip_subset,blue,False
13237694,query,attr,3,What color are the jeans that the man is wearing?,light blue,blue,blip_subset,blue,False
181002391,query,attr,2,What is the color of the shirt?,dark blue,blue,blip_subset,blue,False
13101308,query,attr,2,What is the color of the beach?,light brown,brown,blip_subset,brown,False
14262986,query,attr,2,What color is the hair?,dark brown,brown,blip_subset,brown,False
14262975,query,attr,3,What color are the jeans the man is wearing?,dark blue,blue,blip_subset,blue,False
17890362,query,attr,2,Which color is the grass?,light brown,brown,blip_subset,brown,False
05671587,query,attr,3,Which color is the paddle that is not short?,light blue,blue,blip_subset,black,False
18899138,query,attr,2,What is the color of the nose?,dark brown,brown,blip_subset,brown,False
11401142,query,attr,2,The bowl is which color?,dark blue,blue,blip_subset,blue,False
19659476,query,attr,2,What is the color of the pants?,light blue,blue,blip_subset,blue,False
001006626,query,attr,3,What is the color of the table the bowl is sitting on?,light brown,brown,blip_subset,brown,False
11779784,query,attr,2,What color is the table?,dark brown,brown,blip_subset,brown,False
10473056,query,attr,2,What is the color of the sky?,light blue,blue,blip_subset,blue,False
06106816,query,attr,2,Which color does the dress have?,light blue,blue,blip_subset,blue,False
19824324,query,attr,2,The water has which color?,dark blue,blue,blip_subset,blue,False
11560649,query,attr,3,Which color do the cabinets that are made of wood have?,light brown,brown,blip_subset,brown,False
07406765,query,attr,3,Which color is the table made of wood?,light brown,brown,blip_subset,brown,False
16405058,query,cat,3,Who is looking up?,woman,man,blip_subset,man,False
00750430,query,cat,3,Which kind of furniture is gray?,office chair,chair,blip_subset,chair,False
00750632,query,cat,3,What is the computer piece of furniture?,computer desk,desk,blip_subset,desk,False
011896,query,cat,3,Who is standing?,woman,man,blip_subset,woman,True
06699165,query,cat,3,What item of furniture is beige?,computer desk,desk,blip_subset,desk,False
06699163,query,cat,3,What is the beige piece of furniture?,computer desk,desk,blip_subset,desk,False
06699156,query,cat,2,What is the piece of furniture in the image?,computer desk,desk,blip_subset,desk,False
06699157,query,cat,2,What kind of furniture is it?,computer desk,desk,blip_subset,desk,False
06587131,query,cat,3,Which type of clothing is yellow?,t-shirt,shirt,blip_subset,shirt,False
06587132,query,cat,3,What kind of clothing is yellow?,t-shirt,shirt,blip_subset,shirt,False
06587140,query,cat,3,What is the white clothing item called?,t-shirt,shirt,blip_subset,shirt,False
06587142,query,cat,3,Which kind of clothing is white?,t-shirt,shirt,blip_subset,shirt,False
03633085,query,cat,2,What device is it?,remote control,remote,blip_subset,remote,False
03633084,query,cat,2,What device is in this photo?,remote control,remote,blip_subset,remote,False
00638225,query,cat,3,Which kind of clothing is orange?,polo shirt,shirt,blip_subset,shirt,False
00638223,query,cat,3,What kind of clothing is orange?,polo shirt,shirt,blip_subset,shirt,False
13297717,query,cat,3,Which type of device in this photo is off?,computer monitor,computer,blip_subset,computer,False
13297714,query,cat,2,What device is it?,computer monitor,computer,blip_subset,computer,False
13297713,query,cat,2,What is the device called?,computer monitor,computer,blip_subset,computer,False
08291229,query,cat,3,What device is black?,cell phone,phone,blip_subset,phone,False
16130594,query,cat,3,Who in the picture is sitting?,woman,man,blip_subset,couple,False
04429765,query,cat,3,Which kind of device is not white?,computer mouse,mouse,blip_subset,mouse,False
00151068,query,cat,3,Which kind of clothing is white?,polo shirt,shirt,blip_subset,shirt,False
08262722,query,cat,3,Which kind of device is not large?,remote control,remote,blip_subset,tv,False
04893478,query,cat,3,What type of watercraft is brown?,sailboat,boat,blip_subset,boat,False
04893480,query,cat,3,Which kind of watercraft is brown?,sailboat,boat,blip_subset,boat,False
10591279,query,cat,2,What is the sign that is presented?,parking sign,parking,blip_subset,street sign,False
10591280,query,cat,2,What sign is it?,parking sign,parking,blip_subset,street sign,False
10591283,query,cat,3,What sign is blue?,parking sign,parking,blip_subset,street sign,False
02133018,query,cat,2,How is the vehicle called?,train car,train,blip_subset,train,False
02133019,query,cat,2,What vehicle is it?,train car,train,blip_subset,train,False
08531991,query,cat,3,What is the white clothing item in the image?,dress shirt,shirt,blip_subset,shirt,False
08531993,query,cat,3,Which kind of clothing is white?,dress shirt,shirt,blip_subset,shirt,False
16415584,query,cat,2,What vehicle is pictured?,school bus,bus,blip_subset,bus,False
16415585,query,cat,2,What vehicle is it?,school bus,bus,blip_subset,bus,False
06830619,query,cat,3,What is the blue clothing item called?,dress shirt,shirt,blip_subset,shirt,False
06830621,query,cat,3,What kind of clothing is blue?,dress shirt,shirt,blip_subset,shirt,False
17727126,query,cat,3,Which kind of device is dark?,cell phone,phone,blip_subset,phone,False
05979312,query,cat,3,What is the name of the piece of furniture that is not large?,coffee table,table,blip_subset,couch,False
03801797,query,cat,3,What device is square?,computer monitor,monitor,blip_subset,keyboard,False
03801789,query,cat,3,What device is on?,computer monitor,computer,blip_subset,computer,False
06881836,query,cat,3,What device isn't blue?,remote control,remote,blip_subset,remote,False
08131268,query,cat,3,What device isn't wireless?,computer mouse,computer,blip_subset,remote,False
13663330,query,cat,3,What is the device that is not gray?,computer mouse,computer,blip_subset,computer,False
15260640,query,cat,3,Which kind of vehicle is white?,train car,train,blip_subset,train,False
15260639,query,cat,3,What kind of vehicle is white?,train car,train,blip_subset,train,False
10961668,query,cat,3,How is the red vehicle called?,train car,train,blip_subset,train,False
10961671,query,cat,3,Which kind of vehicle is red?,train car,train,blip_subset,train,False
15494382,query,cat,3,What the gray item of clothing is called?,sweatshirt,shirt,blip_subset,shirt,False
15494384,query,cat,3,Which kind of clothing is gray?,sweatshirt,shirt,blip_subset,shirt,False
1066264,query,cat,3,What kind of aircraft is blue?,airplane,plane,blip_subset,airplane,True
09543918,query,cat,3,Which kind of device is white?,computer monitor,computer,blip_subset,computer,False
09543914,query,cat,3,What is the name of the white device?,computer monitor,computer,blip_subset,computer,False
01656498,query,cat,3,What device isn't silver?,computer mouse,computer,blip_subset,computer,False
02309120,query,cat,3,Which kind of device is large?,computer monitor,monitor,blip_subset,computer,False
09345438,query,cat,2,What is the aircraft in this scene called?,airplane,plane,blip_subset,plane,False
11979134,query,cat,3,What sign is white?,stop sign,stop,blip_subset,stop,False
11979133,query,cat,3,What is the sign that is white called?,stop sign,stop,blip_subset,stop,False
181061102,query,cat,3,What is the white sign called?,stop sign,stop,blip_subset,stop,False
181061105,query,cat,3,What sign is white?,stop sign,stop,blip_subset,stop,False
192430,query,cat,3,Which kind of clothing is black?,t-shirt,shirt,blip_subset,shirt,False
192429,query,cat,3,What kind of clothing is black?,t-shirt,shirt,blip_subset,shirt,False
151026402,query,cat,2,What item of furniture is it?,coffee table,table,blip_subset,table,False
09342362,query,cat,2,What device is it?,remote control,remote,blip_subset,remote,False
09342361,query,cat,2,How is the device in the image called?,remote control,remote,blip_subset,remote,False
10782310,query,cat,2,What device is it?,remote control,remote,blip_subset,remote,False
05839175,query,cat,3,What kind of device is gray?,cell phone,phone,blip_subset,phone,False
05839176,query,cat,3,Which kind of device is gray?,cell phone,phone,blip_subset,phone,False
15617075,query,cat,3,What kind of clothing is white?,dress shirt,shirt,blip_subset,tie,False
15617072,query,cat,3,What is the white article of clothing called?,dress shirt,shirt,blip_subset,tie,False
04860201,query,cat,3,What do you think is the clothing item that is white?,t-shirt,shirt,blip_subset,shirt,False
08517070,query,cat,2,What aircraft is presented in this scene?,airplane,plane,blip_subset,airplane,True
13766947,query,cat,3,What kind of device isn't on?,computer mouse,computer,blip_subset,mouse,False
00951639,query,cat,3,Who is standing?,policeman,police,blip_subset,police,False
